FIPS,CountyName,State,CountyPop,Area_SqMeters,Area_SqMiles,BEA_Number,BTA_Number,CMA_Number,DMA_Number,DMA_Rank,EAG_Number,MEA_Number,MTA_Number,PEA_Number,PSR_Number,REA_Number,RPC_Number
1001,Autauga,AL,54571,1539582278,594.4360661,79,305,139,698,120,3,24,29,374,1,4,4
1003,Baldwin,AL,182265,4117521611,1589.78405,80,302,83,686,59,3,27,17,377,1,4,4
1005,Barbour,AL,27457,2291818968,884.8762882,36,92,314,522,126,3,24,11,270,1,4,2
1007,Bibb,AL,22915,1612480789,622.5823398,78,44,310,630,44,3,24,29,371,1,4,4
1009,Blount,AL,57322,1669961855,644.7759044,78,44,307,630,44,3,24,29,372,1,4,4
1011,Bullock,AL,10914,1613056905,622.8047794,79,305,314,698,120,3,24,29,373,1,4,4
1013,Butler,AL,20947,2011976894,776.8286548,79,305,313,698,120,3,24,29,373,1,4,4
1015,Calhoun,AL,118572,1569189995,605.86767,78,17,249,630,44,3,24,29,370,1,4,4
1017,Chambers,AL,34215,1545009282,596.5314442,40,334,311,522,126,3,8,11,281,1,2,2
1019,Cherokee,AL,25989,1434075952,553.6998442,40,158,308,630,44,3,8,29,281,1,2,4
1021,Chilton,AL,43643,1794483586,692.8540155,78,44,310,630,44,3,24,29,371,1,4,4
1023,Choctaw,AL,13859,2365954748,913.5002741,77,292,309,711,186,3,26,28,369,1,4,4
1025,Clarke,AL,25833,3207609488,1238.465,80,302,312,686,59,3,27,17,377,1,4,4
1027,Clay,AL,13932,1564252280,603.9612075,39,17,311,630,44,3,8,29,277,1,2,4
1029,Cleburne,AL,14972,1450652767,560.1001885,40,17,311,524,9,3,8,29,281,1,2,4
1031,Coffee,AL,49948,1758528786,678.9717891,36,115,313,606,172,3,24,29,270,1,4,4
1033,Colbert,AL,54428,1534877333,592.6194766,74,146,226,691,79,3,24,29,363,1,4,4
1035,Conecuh,AL,13228,2201894769,850.1563594,80,302,312,686,59,3,27,17,377,1,4,4
1037,Coosa,AL,11539,1685891075,650.9262109,39,44,311,630,44,3,8,29,277,1,2,4
1039,Covington,AL,37765,2668869505,1030.456321,36,305,313,698,120,3,24,29,270,1,4,4
1041,Crenshaw,AL,13906,1576888006,608.8398888,79,305,313,698,120,3,24,29,373,1,4,4
1043,Cullman,AL,80406,1903228333,734.8405989,78,44,307,630,44,3,24,29,372,1,4,4
1045,Dale,AL,50251,1453371157,561.1497648,36,115,246,606,172,3,24,29,270,1,4,4
1047,Dallas,AL,43820,2534807386,978.6946449,79,415,310,698,120,3,24,29,373,1,4,4
1049,DeKalb,AL,71109,2012662359,777.0933143,74,158,308,691,79,3,24,29,363,1,4,4
1051,Elmore,AL,79303,1601867593,618.4845617,79,305,139,698,120,3,24,29,374,1,4,4
1053,Escambia,AL,38319,2447746932,945.0804143,80,302,312,686,59,3,27,17,377,1,4,4
1055,Etowah,AL,104430,1385618994,534.9905073,74,158,272,630,44,3,24,29,363,1,4,4
1057,Fayette,AL,17241,1625631609,627.6599,78,450,309,630,44,3,24,29,372,1,4,4
1059,Franklin,AL,31704,1641587713,633.8205864,74,146,307,691,79,3,24,29,363,1,4,4
1061,Geneva,AL,26790,1487710425,574.4082308,36,115,313,606,172,3,24,29,270,1,4,4
1063,Greene,AL,9045,1676007032,647.1099604,77,450,309,630,44,3,26,29,369,1,4,4
1065,Hale,AL,15760,1667803914,643.9427187,78,450,309,630,44,3,24,29,371,1,4,4
1067,Henry,AL,17302,1454926258,561.7501927,36,115,314,606,172,3,24,29,270,1,4,4
1069,Houston,AL,101547,1501737720,579.8242,36,115,246,606,172,3,24,29,270,1,4,4
1071,Jackson,AL,53227,2791664869,1077.867878,74,198,308,691,79,3,24,29,363,1,4,4
1073,Jefferson,AL,658466,2878192209,1111.276272,78,44,41,630,44,3,24,29,370,1,4,4
1075,Lamar,AL,14564,1566544654,604.8462981,75,94,309,673,133,3,26,28,365,1,4,4
1077,Lauderdale,AL,92709,1729327931,667.6972754,74,146,226,691,79,3,24,29,363,1,4,4
1079,Lawrence,AL,34339,1788846568,690.6775506,74,108,307,691,79,3,24,29,363,1,4,4
1081,Lee,AL,140247,1573510728,607.5359145,39,334,314,522,126,3,8,11,277,1,2,2
1083,Limestone,AL,82782,1450228326,559.9363109,74,198,120,691,79,3,24,29,363,1,4,4
1085,Lowndes,AL,11299,1854199648,715.910517,79,305,310,698,120,3,24,29,373,1,4,4
