tvstudy v1.3.1
Host,"localhost"
CDBS,"07/01/2013 (2)  FP&ClassA"
Study,"Top100 Studies"
Scenario,"DMA20"
Comment,
Start,"2015.05.19 11:15:36"
Desired,,,,,,,NoiseLimited,,TerrainLimited,,InterferenceFree,,,Undesired,,,,,,TotalInterference,,UniqueInterference
FacID,Ch,Call,FileNumber,City,St,InCountry,Area,Population,Area,Population,Area,Population,,FacID,Ch,Call,FileNumber,City,St,Area,Population,Area,Population
4939,15,"KBSV","BLEDT20090213AAZ","CERES",CA,US,9507.6,1352166,8347.0,1262705,8263.5,1262283,,21533,14,"KTNC-TV","BLCDT20091210ABC","CONCORD",CA,51.6,400,39.7,390
,,,,,,,,,,,,,,18736,15,"KMUM-CA","BLTTL19981016JH","SACRAMENTO","CA",43.8,32,31.9,22
33745,24,"KNVN","BLCDT20090105AFH","CHICO",CA,US,28765.3,495434,24277.0,461751,24277.0,461751
51930,28,"KKPM-CD","BLDTA20100914AHF","CHICO",CA,US,10758.0,759678,10586.4,758175,10359.5,756162,,18148,28,"KDTV-CD","BLDTA20100730ADZ","SANTA ROSA",CA,227.0,2013,227.0,2013
24508,43,"KHSL-TV","BLCDT20080711ADS","CHICO",CA,US,22648.1,627256,20161.6,609379,20089.8,608312,,58912,43,"KCSM-TV","BLEDT20091124AHY","SAN MATEO",CA,71.7,1067,71.7,1067
21533,14,"KTNC-TV","BLCDT20091210ABC","CONCORD",CA,US,36834.9,10110475,32246.4,9217082,32174.6,9214106,,4939,15,"KBSV","BLEDT20090213AAZ","CERES",CA,71.8,2976,71.8,2976
57945,23,"KRCB","BLEDT20081107ACJ","COTATI",CA,US,28891.0,5320127,22644.7,4552933,22221.4,4473868,,18745,23,"KHMM-CD","BLDTA20101005ABN","HANFORD",CA,4.0,8,0.0,0
,,,,,,,,,,,,,,52891,23,"KEZT-CD","BLDTA20120202ACU","SACRAMENTO","CA",423.3,79065,419.3,79057
8378,8,"KQSL","BLCDT20090610AAS","FORT BRAGG",CA,US,38894.9,202204,31498.5,143746,31474.4,143446,,19653,8,"KSBW","BLCDT20090901ACY","SALINAS",CA,16.0,212,16.0,212
,,,,,,,,,,,,,,63331,8,"KOLO-TV","BLCDT20090612ABN","RENO","NV",8.0,88,8.0,88
67494,7,"KAIL","BLCDT20021002ABH","FRESNO",CA,US,37095.3,1967744,35027.5,1948249,34503.8,1942954,,34470,7,"KGO-TV","BLCDT20090824ADG","SAN FRANCISCO",CA,519.7,5295,507.9,5295
,,,,,,,,,,,,,,60307,7,"KRNV-DT","BLCDT20040622ABF","RENO","NV",15.8,0,4.0,0
18740,22,"KZMM-CD","BLDTA20110920ACZ","FRESNO",CA,US,6523.4,1007405,6048.0,981367,6048.0,981367
8620,30,"KFSN-TV","BLCDT20110914ABW","FRESNO",CA,US,32370.9,1747895,28501.1,1731498,28147.3,1730913,,35500,30,"KQED","BLEDT20100216ACU","SAN FRANCISCO",CA,353.9,585,353.9,585
56034,34,"KGPE","BLCDT20030702ABJ","FRESNO",CA,US,28985.7,1698960,25521.5,1682087,25314.7,1681385,,51429,34,"KFSF-DT","BLCDT20100513ABB","VALLEJO",CA,206.8,702,206.8,702
35594,38,"KSEE","BMLCDT20080324AIQ","FRESNO",CA,US,32581.4,1749448,28680.7,1732515,28275.1,1731792,,65526,38,"KRON-TV","BLCDT20091110AAH","SAN FRANCISCO",CA,405.7,723,405.7,723
34439,20,"KFTV-DT","BLCDT20020906ABE","HANFORD",CA,US,31337.0,1807731,28331.0,1793626,28331.0,1793626
18745,23,"KHMM-CD","BLDTA20101005ABN","HANFORD",CA,US,6299.8,1003552,5756.2,978246,5744.2,978229,,57945,23,"KRCB","BLEDT20081107ACJ","COTATI",CA,4.0,0,4.0,0
,,,,,,,,,,,,,,18740,22,"KZMM-CD","BLDTA20110920ACZ","FRESNO","CA",8.0,17,8.0,17
58608,11,"KNSO","BLCDT20100202ABE","MERCED",CA,US,47193.6,2092512,42581.1,2031160,42569.2,2031145,,25048,10,"KXTV","BLCDT20120201AAM","SACRAMENTO",CA,11.9,15,11.9,15
168338,49,"KMPH-CD","BLDTA20110913AAR","MERCED-MARIPOSA",CA,US,4065.5,165811,3778.5,164709,3778.5,164709
58609,18,"KUVS-DT","BLCDT20020906ABH","MODESTO",CA,US,31427.9,4043413,29932.5,4007363,29932.5,4007363
70900,27,"KEXT-CA","BLTTA20030123ACJ","MODESTO",CA,US,4705.0,731209,4262.7,712820,4250.8,712772,,20871,26,"KTFK-DT","BLCDT20110819ABS","STOCKTON",CA,11.9,48,11.9,48
35611,31,"KSMS-TV","BLCDT20120111ABM","MONTEREY",CA,US,38425.3,4447144,25474.1,3234204,23950.9,2545799,,26249,32,"KION-TV","BLCDT20030604ACO","MONTEREY",CA,359.5,3529,351.5,3316
,,,,,,,,,,,,,,35500,30,"KQED","BLEDT20100216ACU","SAN FRANCISCO","CA",1171.7,685089,1163.7,684876
26249,32,"KION-TV","BLCDT20030604ACO","MONTEREY",CA,US,24794.8,2400317,16698.8,857027,15891.1,779779,,34440,32,"KEMO-TV","BLCDT20090612AGW","SANTA ROSA",CA,8.0,325,4.0,325
,,,,,,,,,,,,,,43095,33,"KMTP-TV","BLEDT20100216ABJ","SAN FRANCISCO","CA",43.9,15153,24.0,5372
,,,,,,,,,,,,,,35611,31,"KSMS-TV","BLCDT20120111ABM","MONTEREY","CA",779.7,71551,755.8,61770
49153,47,"KTLN-TV","BLCDT20080228ACB","NOVATO",CA,US,21659.5,6078716,17778.0,5739003,16380.9,5560031,,52953,48,"KSPX-TV","BLCDT20050110ABB","SACRAMENTO",CA,1096.8,149986,31.6,194
